Wahlkreisnummer;Wahlkreisname;AGS;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;gemeldete Wahlbezirke;Anzahl Wahlbezirke;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Erststimmen ungueltige (C);Erststimmen gueltige (D);D1;D2;D3;D4;D5;D6;D7;D8;D9;D11;D12;D13;D16;D17;D20;D21;D22;Zweitstimmen ungueltige (E);Zweitstimmen gueltige (F);F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;
30;30 - Bretten;;;30;WAHLKREIS;30 - Bretten;;177;177;;;N;116617;83028;33589;0;83213;51846;31367;1061;82152;20485;28346;7428;4853;17194;3846;;;;;;;;;;;;562;82651;22677;24763;5178;3741;16779;3043;1886;403;191;48;123;782;233;36;71;1184;143;160;55;978;177;
31;31 - Ettlingen;;;31;WAHLKREIS;31 - Ettlingen;;157;157;;;N;94209;66199;28009;1;69073;42718;26355;792;68281;17851;23939;6764;4268;10969;2987;;;;;1503;;;;;;;428;68645;21344;21288;4348;3270;10874;2605;1257;297;159;42;76;861;185;39;43;894;95;108;35;723;102;
32;32 - Rastatt;;;32;WAHLKREIS;32 - Rastatt;;153;153;;;N;112748;85839;26909;0;74122;48918;25204;819;73303;15174;25469;8407;3219;17016;2789;;;;;1229;;;;;;;514;73608;18860;22281;5274;2756;16807;2450;1708;300;230;34;70;558;48;30;48;871;109;139;65;818;152;
33;33 - Baden-Baden;;;33;WAHLKREIS;33 - Baden-Baden;;139;139;;;N;90225;65945;24280;0;59841;37448;22393;635;59206;13058;21934;6297;2075;10831;1946;2509;;;;556;;;;;;;441;59400;17663;19542;3004;2424;10907;1945;1390;180;187;18;62;376;70;23;43;601;55;109;33;646;122;
34;34 - Heidelberg;;;34;WAHLKREIS;34 - Heidelberg;;149;149;;;N;100964;71894;29070;0;72563;45576;26987;446;72117;28228;15014;9356;2738;5758;7595;;959;;;2331;;;;;;138;241;72322;34280;13417;4315;2860;5758;7320;457;437;152;57;92;1435;76;59;36;858;48;56;51;491;67;
35;35 - Mannheim I;8222000;Mannheim, Universitätsstadt;35;WAHLKREIS;35 - Mannheim I;;109;110;;;N;93070;74184;18886;0;50738;33319;17419;422;50316;10932;10930;8803;1145;11142;4626;1015;;;;660;;937;;;;126;366;50372;13966;10065;5563;1332;10869;4547;732;326;108;43;40;569;54;26;47;1022;95;124;39;739;66;
36;36 - Mannheim II;8222000;Mannheim, Universitätsstadt;36;WAHLKREIS;36 - Mannheim II;;132;133;;;N;103668;75627;28041;0;65922;40145;25777;444;65478;21180;15598;8827;2940;8535;4844;1233;;;;1233;;966;;;;122;341;65581;24565;14413;5275;2876;8459;5377;828;398;130;74;67;930;50;42;50;1023;116;80;56;681;91;
37;37 - Wiesloch;;;37;WAHLKREIS;37 - Wiesloch;;137;137;;;N;100911;74428;26481;2;69230;44504;24726;647;68583;16759;23750;6690;3862;13473;2697;;;;;1352;;;;;;;444;68786;19537;19853;4947;3301;13444;2739;1249;352;170;39;61;839;92;43;47;915;107;149;50;748;104;
39;39 - Weinheim;;;39;WAHLKREIS;39 - Weinheim;;191;191;;;N;108849;78096;30752;1;77643;48919;28724;548;77095;22255;25445;9027;2838;10603;3679;;1133;;;1359;;;;;;756;380;77263;26375;21938;6130;3137;10775;3578;1403;477;261;59;66;852;79;36;36;852;53;154;51;827;124;
40;40 - Schwetzingen;;;40;WAHLKREIS;40 - Schwetzingen;;128;128;;;N;94388;69403;23661;1324;62260;40121;22139;609;61651;15673;21027;5722;2455;11926;3024;;;;;1296;;;;;528;;420;61840;17763;17152;4718;2481;11991;2573;1451;330;121;31;50;735;83;34;34;880;67;129;26;872;319;
41;41 - Sinsheim;;;41;WAHLKREIS;41 - Sinsheim;;146;150;;;N;95603;70171;25432;0;67493;43576;23917;597;66896;13436;22222;8262;2048;13538;2930;3304;;;;775;381;;;;;;497;66996;17642;19523;5750;2436;13745;2623;1795;309;146;37;70;652;258;30;50;870;69;126;47;699;119;
42;42 - Pforzheim;;;42;WAHLKREIS;42 - Pforzheim;;129;129;;;N;90963;71645;19318;0;52832;34944;17888;550;52282;8980;16187;4319;5244;13998;2690;;;;;864;;;;;;;329;52503;12400;13605;2593;3711;13871;2303;628;226;96;28;77;490;157;41;41;879;366;107;32;724;128;
43;43 - Calw;;;43;WAHLKREIS;43 - Calw;;186;186;;;N;113380;84901;28478;1;79687;52583;27104;871;78816;12842;29624;7755;3966;19944;2890;;;;;;1365;;;;430;;466;79221;18484;25356;3881;3524;20011;2263;1374;282;171;28;133;401;896;33;53;1010;97;133;31;786;274;
44;44 - Enz;;;44;WAHLKREIS;44 - Enz;;164;166;;;N;123333;87608;35723;2;89398;55190;34208;788;88610;18351;27744;6307;11522;20010;3037;;;;;1639;;;;;;;489;88909;23331;25704;4540;6417;19978;2587;1595;368;204;35;110;742;374;24;65;1064;172;189;73;1068;269;
